Optical path length difference [um] - Plot 0	Photocurrent [a.u.] - Plot 0	Optical path length difference [um] - Plot 1	Photocurrent [a.u.] - Plot 1	Optical path length difference [um] - Plot 2	Photocurrent [a.u.] - Plot 2	
0	0.312292					
25.554	1.56223					
51.108	2.33066					
76.662	1.78336					
102.216	2.51985					
127.77	1.86595					
153.324	2.02805					
178.878	1.49644					
204.432	2.1365					
229.986	2.2857					
255.54	1.87993					
281.094	2.2234					
306.648	1.62888					
332.202	1.84853					
357.756	1.92608					
383.31	1.91795					
408.864	1.94532					
434.418	1.96479					
459.972	1.8744					
485.526	1.97634					
511.08	1.91378					
536.634	1.80319					
562.188	1.94956					
587.742	1.80647					
613.296	1.99616					
638.85	1.90096					
664.404	1.96502					
689.958	1.96842					
715.512	1.90385					
741.066	1.99232					
766.62	1.94013					
792.174	1.97012					
817.728	1.6424					
843.282	1.86371					
868.836	1.84884					
894.39	1.83179					
919.944	1.80658					
945.498	1.7447					
971.052	1.79021					
996.606	1.74069					
1022.16	1.67938					
1047.71	1.91418					
1073.27	1.74413					
1098.82	1.85651					
1124.38	1.83285					
1149.93	1.77507					
1175.48	1.8334					
1201.04	1.77532					
1226.59	1.79263					
1252.15	1.8362					
1277.7	1.75565					
1303.25	1.79415					
1328.81	1.77126					
1354.36	1.76315					
1379.92	1.80895					
1405.47	1.77044					
1431.02	1.81639					
1456.58	1.80556					
1482.13	1.81876					
1507.69	1.80642					
1533.24	1.81522					
1558.79	1.78851					
1584.35	1.80689					
1609.9	1.78771					
