Optical path length difference [um] - Plot 0	Photocurrent [a.u.] - Plot 0	Optical path length difference [um] - Plot 1	Photocurrent [a.u.] - Plot 1	Optical path length difference [um] - Plot 2	Photocurrent [a.u.] - Plot 2	
0	0.424969					
25.554	2.35444					
51.108	2.54416					
76.662	2.50614					
102.216	2.39425					
127.77	2.37278					
153.324	2.51223					
178.878	1.9669					
204.432	2.63509					
229.986	2.66382					
255.54	2.4314					
281.094	2.39478					
306.648	2.36101					
332.202	2.39325					
357.756	2.40121					
383.31	2.34501					
408.864	2.43231					
434.418	2.36275					
459.972	2.3532					
485.526	2.40551					
511.08	2.45076					
536.634	2.28648					
562.188	2.45092					
587.742	2.21633					
613.296	2.47813					
638.85	2.3618					
664.404	2.40543					
689.958	2.40223					
715.512	2.36814					
741.066	2.40924					
766.62	2.36947					
792.174	2.43608					
817.728	2.03785					
843.282	2.31332					
868.836	2.28123					
894.39	2.24197					
919.944	2.21149					
945.498	2.20043					
971.052	2.19399					
996.606	2.15915					
1022.16	2.06204					
1047.71	2.3834					
1073.27	2.13775					
1098.82	2.3115					
1124.38	2.25261					
1149.93	2.25857					
1175.48	2.24969					
1201.04	2.2298					
1226.59	2.24801					
1252.15	2.25869					
1277.7	2.17301					
1303.25	2.24017					
1328.81	2.21202					
1354.36	2.19768					
1379.92	2.21053					
1405.47	2.1936					
1431.02	2.27561					
1456.58	2.23426					
1482.13	2.25462					
1507.69	2.23758					
1533.24	2.25275					
1558.79	2.21403					
1584.35	2.24301					
1609.9	2.22124					
