Optical path length difference [um] - Plot 0	Photocurrent [a.u.] - Plot 0	Optical path length difference [um] - Plot 1	Photocurrent [a.u.] - Plot 1	Optical path length difference [um] - Plot 2	Photocurrent [a.u.] - Plot 2	
0	0.412544					
25.554	1.69941					
51.108	2.37116					
76.662	2.03021					
102.216	2.03801					
127.77	2.05881					
153.324	2.07212					
178.878	2.05287					
204.432	2.13902					
229.986	2.10755					
255.54	2.12619					
281.094	2.11116					
306.648	2.07875					
332.202	2.08704					
357.756	2.07838					
383.31	2.08599					
408.864	2.14249					
434.418	2.04779					
459.972	2.08113					
485.526	2.0781					
511.08	2.08579					
536.634	1.98799					
562.188	2.08488					
587.742	1.97889					
613.296	2.16926					
638.85	2.06049					
664.404	2.10573					
689.958	2.0907					
715.512	2.06788					
741.066	2.09448					
766.62	2.06685					
792.174	2.08616					
817.728	1.80541					
843.282	1.96462					
868.836	1.96581					
894.39	1.93952					
919.944	1.91995					
945.498	1.91362					
971.052	1.92031					
996.606	1.91102					
1022.16	1.85986					
1047.71	2.01229					
1073.27	1.8993					
1098.82	1.97538					
1124.38	1.94237					
1149.93	1.94548					
1175.48	1.92829					
1201.04	1.92901					
1226.59	1.95285					
1252.15	1.96397					
1277.7	1.88932					
1303.25	1.93233					
1328.81	1.91955					
1354.36	1.91067					
1379.92	1.91765					
1405.47	1.9058					
1431.02	1.97597					
1456.58	1.94656					
1482.13	1.96487					
1507.69	1.94362					
1533.24	1.95071					
1558.79	1.9257					
1584.35	1.93964					
1609.9	1.91743					
