Optical path length difference [um] - Plot 0	Photocurrent [a.u.] - Plot 0	Optical path length difference [um] - Plot 1	Photocurrent [a.u.] - Plot 1	Optical path length difference [um] - Plot 2	Photocurrent [a.u.] - Plot 2	
0	0.21531					
25.554	0.725147					
51.108	2.10695					
76.662	0.886461					
102.216	2.0491					
127.77	0.988409					
153.324	0.463334					
178.878	1.88298					
204.432	0.88313					
229.986	0.139169					
255.54	1.8208					
281.094	0.378616					
306.648	1.81431					
332.202	1.57936					
357.756	1.05077					
383.31	1.96952					
408.864	1.89354					
434.418	0.877849					
459.972	0.779076					
485.526	1.90127					
511.08	0.610014					
536.634	1.18049					
562.188	1.10008					
587.742	0.442471					
613.296	1.80014					
638.85	1.2765					
664.404	1.27453					
689.958	1.6267					
715.512	0.471306					
741.066	0.807217					
766.62	0.85633					
792.174	0.651344					
817.728	0.618076					
843.282	0.882719					
868.836	1.35294					
894.39	0.952867					
919.944	1.26715					
945.498	1.10639					
971.052	0.844013					
996.606	1.22846					
1022.16	0.82407					
1047.71	0.878287					
1073.27	1.08294					
1098.82	0.911999					
1124.38	1.19927					
1149.93	1.17926					
1175.48	0.916021					
1201.04	1.33561					
1226.59	1.17029					
1252.15	1.43845					
1277.7	0.731097					
1303.25	1.07151					
1328.81	0.537564					
1354.36	0.352217					
1379.92	1.6103					
1405.47	1.04398					
1431.02	1.4573					
1456.58	1.45576					
1482.13	0.805015					
1507.69	1.77586					
1533.24	0.296233					
1558.79	0.421461					
1584.35	0.82902					
1609.9	0.122668					
