Optical path length difference [um] - Plot 0	Photocurrent [a.u.] - Plot 0	Optical path length difference [um] - Plot 1	Photocurrent [a.u.] - Plot 1	Optical path length difference [um] - Plot 2	Photocurrent [a.u.] - Plot 2	
0	0.264399					
25.554	0.863227					
51.108	1.99256					
76.662	0.891021					
102.216	2.20786					
127.77	1.02201					
153.324	0.459907					
178.878	1.84399					
204.432	0.81115					
229.986	0.103834					
255.54	1.77797					
281.094	0.29457					
306.648	1.77619					
332.202	1.50525					
357.756	1.08387					
383.31	2.06106					
408.864	2.3634					
434.418	0.575681					
459.972	0.745785					
485.526	2.06662					
511.08	0.723418					
536.634	1.90733					
562.188	0.854627					
587.742	0.0530758					
613.296	1.9741					
638.85	1.13965					
664.404	1.47142					
689.958	1.91885					
715.512	0.120108					
741.066	0.865496					
766.62	0.321972					
792.174	0.240617					
817.728	0.08745					
843.282	1.22913					
868.836	1.77477					
894.39	0.18425					
919.944	1.35603					
945.498	0.445283					
971.052	1.34436					
996.606	2.03155					
1022.16	0.277105					
1047.71	1.93198					
1073.27	0.158514					
1098.82	1.17638					
1124.38	0.7296					
1149.93	0.153893					
1175.48	1.37958					
1201.04	0.403172					
1226.59	1.41979					
1252.15	0.245137					
1277.7	1.64781					
1303.25	1.63792					
1328.81	1.11497					
1354.36	1.53795					
1379.92	0.289188					
1405.47	0.546665					
1431.02	0.718257					
1456.58	0.317751					
1482.13	1.29713					
1507.69	0.28578					
1533.24	1.62939					
1558.79	1.54765					
1584.35	0.958803					
1609.9	1.42369					
