CV = cross-validation
TL = transfer learning
RBF = radial basis functions
PINV = pseudoinverse (moore-penrose)

spectrum		method		||x-x_real||^2		R2
MZI1_v1/2		ENET CV		0.008169			0.828495
MZI1_v1/2		RBF CV		0.0119195743542		0.773030992724
MZI1_v1			PINV		0.011996			0.761145

MZI1_v2/3		ENET CV		0.010605			0.814491
MZI1_v2/3		RBF CV		0.0118861151146		0.776029394489
MZI1_v2			PINV		0.011968514497		0.773038833454

MZI1_v3/4		ENET CV		0.088438			-12.404855
MZI1_v3/4		RBF CV		0.0173659739722		0.645445157602
MZI1_v3			PINV		0.012023998808		0.77035842759

MZI1_v4/5		ENET CV		0.008285			0.816065
MZI1_v4/5		RBF CV		0.0107327712763		0.78008771356
MZI1_v4			PINV		0.0175836528205		0.636279625468
